player_name,player_name,league_name,year,fee,market_value_in_eur,player_position,from_club_name,to_club_name,perf_before_goals,perf_before_assists,perf_before_minutes,perf_before_matches,perf_after_goals,perf_after_assists,perf_after_minutes,perf_after_matches,goal_change,assist_change
Faitout Maouassa,Faitout Maouassa,Ligue 1,2023,0.0,6000000.0,Defender,Club Brugge,Lens,5.0,5.0,1923.0,33.0,0.0,0.0,76.0,3.0,-5.0,-5.0
Nazariy Rusyn,Nazariy Rusyn,Premier League,2023,2500000.0,2000000.0,Attack,Zorya Lugansk,Sunderland,,,,,,,,,,
Ibrahim Sangaré,Ibrahim Sangaré,Premier League,2023,35000000.0,35000000.0,Midfield,PSV Eindhoven,Nottm Forest,,,,,0.0,0.0,1035.0,17.0,,
Mike Trésor,Mike Trésor,Premier League,2023,0.0,15000000.0,Attack,KRC Genk,Burnley,,,,,0.0,0.0,420.0,16.0,,
Albert Sambi Lokonga,Albert Sambi Lokonga,Premier League,2023,0.0,15000000.0,Midfield,Arsenal,Luton,0.0,0.0,198.0,6.0,1.0,3.0,1303.0,17.0,1.0,3.0
César Montes,César Montes,Primera Division,2023,14000000.0,8000000.0,Defender,Espanyol,UD Almería,3.0,0.0,1590.0,20.0,0.0,0.0,1788.0,21.0,-3.0,0.0
Óscar Estupiñán,Óscar Estupiñán,Ligue 1,2023,0.0,5000000.0,Attack,Hull City,FC Metz,,,,,0.0,0.0,260.0,6.0,,
Callum Hudson-Odoi,Callum Hudson-Odoi,Premier League,2023,3500000.0,15000000.0,Attack,Chelsea,Nottm Forest,,,,,8.0,1.0,1854.0,29.0,,
Jonathan Panzo,Jonathan Panzo,Premier League,2023,0.0,3000000.0,Defender,Nottm Forest,Cardiff,,,,,,,,,,
Sacha Bansé,Sacha Bansé,Ligue 1,2023,0.0,300000.0,Midfield,Standard Liège,Valenciennes FC,,,,,,,,,,
Keinan Davis,Keinan Davis,Serie A,2023,2300000.0,3000000.0,Attack,Aston Villa,Udinese,,,,,1.0,0.0,186.0,8.0,,
Paul Akouokou,Paul Akouokou,Ligue 1,2023,3000000.0,3500000.0,Midfield,Real Betis,Olympique Lyon,,,,,0.0,0.0,307.0,8.0,,
Tommy Doyle,Tommy Doyle,Premier League,2023,0.0,7000000.0,Midfield,Man City,Wolves,,,,,0.0,0.0,1222.0,26.0,,
Álex Sola,Álex Sola,Primera Division,2023,0.0,3000000.0,Attack,Real Sociedad,Alavés,0.0,0.0,349.0,10.0,0.0,3.0,1262.0,29.0,0.0,3.0
Ross Stewart,Ross Stewart,Premier League,2023,9300000.0,2800000.0,Attack,Sunderland,Southampton,,,,,,,,,,
Jean-Ricner Bellegarde,Jean-Ricner Bellegarde,Premier League,2023,15000000.0,10000000.0,Midfield,R. Strasbourg,Wolves,,,,,2.0,1.0,958.0,22.0,,
Gennaro Borrelli,Gennaro Borrelli,Serie A,2023,0.0,500000.0,Attack,Frosinone,Brescia,,,,,0.0,0.0,24.0,1.0,,
Colin Dagba,Colin Dagba,Ligue 1,2023,0.0,4500000.0,Defender,Paris SG,AJ Auxerre,0.0,0.0,958.0,21.0,,,,,,
Caleb Okoli,Caleb Okoli,Serie A,2023,0.0,10000000.0,Defender,Atalanta BC,Frosinone,0.0,0.0,960.0,17.0,0.0,1.0,2914.0,34.0,0.0,1.0
João Félix,João Félix,Primera Division,2023,0.0,50000000.0,Attack,Atlético Madrid,Barcelona,4.0,3.0,650.0,14.0,7.0,3.0,1540.0,30.0,3.0,0.0
Eric García,Eric García,Primera Division,2023,0.0,10000000.0,Defender,Barcelona,Girona,1.0,0.0,1417.0,24.0,0.0,0.0,57.0,2.0,-1.0,0.0
Ansu Fati,Ansu Fati,Premier League,2023,0.0,35000000.0,Attack,Barcelona,Brighton,,,,,2.0,0.0,521.0,19.0,,
Brennan Johnson,Brennan Johnson,Premier League,2023,55000000.0,38000000.0,Attack,Nottm Forest,Tottenham,8.0,3.0,2934.0,38.0,0.0,0.0,237.0,3.0,-8.0,-3.0
Mamadou Coulibaly,Mamadou Coulibaly,Serie A,2023,0.0,1300000.0,Midfield,Salernitana,Palermo,,,,,0.0,0.0,3.0,1.0,,
Aron Dønnum,Aron Dønnum,Ligue 1,2023,4500000.0,3000000.0,Midfield,Standard Liège,Toulouse,,,,,0.0,1.0,1595.0,27.0,,
Ryan Gravenberch,Ryan Gravenberch,Premier League,2023,40000000.0,30000000.0,Midfield,Bayern Munich,Liverpool,,,,,1.0,0.0,1121.0,26.0,,
Miguel de la Fuente,Miguel de la Fuente,Primera Division,2023,0.0,2000000.0,Attack,Alavés,CD Leganés,,,,,,,,,,
Christos Mandas,Christos Mandas,Serie A,2023,1300000.0,1000000.0,Goalkeeper,OFI Crete FC,Lazio,,,,,0.0,0.0,721.0,9.0,,
Lorenzo Colombo,Lorenzo Colombo,Serie A,2023,0.0,5000000.0,Attack,AC Milan,Monza,5.0,2.0,1515.0,33.0,4.0,1.0,1359.0,25.0,-1.0,-1.0
Randal Kolo Muani,Randal Kolo Muani,Ligue 1,2023,95000000.0,80000000.0,Attack,E. Frankfurt,Paris SG,,,,,6.0,5.0,1268.0,26.0,,
Nicolás Domínguez,Nicolás Domínguez,Premier League,2023,6650000.0,17000000.0,Midfield,Bologna,Nottm Forest,,,,,2.0,2.0,1495.0,26.0,,
Christopher Scott,Christopher Scott,Bundesliga,2023,0.0,1500000.0,Midfield,Royal Antwerp,Hannover 96,,,,,,,,,,
