,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,Norwich City,Brandon Williams,ENG,DF,20,2000,23.6,0,4,1,25.0,0.17,0.04,0.0,0.0,21.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2
ENG-Premier League,2122,Norwich City,Christoph Zimmermann,GER,DF,28,1993,1.7,0,2,1,50.0,1.15,0.57,0.0,0.0,21.6,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,2122,Norwich City,Christos Tzolis,GRE,"FW,MF",19,2002,3.7,0,6,2,33.3,1.61,0.54,0.0,0.0,18.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4
ENG-Premier League,2122,Norwich City,Dimitris Giannoulis,GRE,DF,25,1995,13.0,0,2,1,50.0,0.15,0.08,0.0,0.0,16.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2122,Norwich City,Grant Hanley,SCO,DF,29,1991,32.2,1,20,4,20.0,0.62,0.12,0.05,0.25,9.2,0,0,0,2.1,2.1,0.11,-1.1,-1.1
ENG-Premier League,2122,Norwich City,Jakob Sørensen,DEN,"MF,DF",23,1998,6.7,0,5,1,20.0,0.75,0.15,0.0,0.0,16.5,0,0,0,0.5,0.5,0.1,-0.5,-0.5
ENG-Premier League,2122,Norwich City,Jonathan Rowe,ENG,"FW,MF",18,2003,2.5,0,3,2,66.7,1.21,0.81,0.0,0.0,16.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3
ENG-Premier League,2122,Norwich City,Josh Sargent,USA,"FW,MF",21,2000,17.5,2,24,2,8.3,1.37,0.11,0.08,1.0,17.1,0,0,0,2.5,2.5,0.1,-0.5,-0.5
ENG-Premier League,2122,Norwich City,Kenny McLean,SCO,MF,29,1992,30.1,1,33,6,18.2,1.1,0.2,0.03,0.17,20.4,0,0,0,1.8,1.8,0.05,-0.8,-0.8
ENG-Premier League,2122,Norwich City,Kieran Dowell,ENG,"FW,MF",23,1997,10.1,1,8,2,25.0,0.79,0.2,0.13,0.5,20.8,3,0,0,1.1,1.1,0.13,-0.1,-0.1
ENG-Premier League,2122,Norwich City,Lukas Rupp,GER,MF,30,1991,8.5,0,12,2,16.7,1.4,0.23,0.0,0.0,21.2,0,0,0,0.7,0.7,0.06,-0.7,-0.7
ENG-Premier League,2122,Norwich City,Mathias Normann,NOR,MF,25,1996,18.3,1,26,5,19.2,1.42,0.27,0.04,0.2,28.2,6,0,0,0.9,0.9,0.04,0.1,0.1
ENG-Premier League,2122,Norwich City,Max Aarons,ENG,DF,21,2000,32.0,0,13,2,15.4,0.41,0.06,0.0,0.0,19.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8
ENG-Premier League,2122,Norwich City,Milot Rashica,KVX,"FW,MF",25,1996,24.8,1,44,17,38.6,1.78,0.69,0.02,0.06,22.3,7,0,0,2.6,2.6,0.06,-1.6,-1.6
ENG-Premier League,2122,Norwich City,Ozan Kabak,TUR,DF,21,2000,10.2,0,4,2,50.0,0.39,0.2,0.0,0.0,14.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3
ENG-Premier League,2122,Norwich City,Pierre Lees-Melou,FRA,MF,28,1993,25.2,1,33,9,27.3,1.31,0.36,0.03,0.11,24.5,0,0,0,1.6,1.6,0.05,-0.6,-0.6
ENG-Premier League,2122,Norwich City,Przemysław Płacheta,POL,"FW,MF",23,1998,5.6,0,8,7,87.5,1.43,1.25,0.0,0.0,16.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4
ENG-Premier League,2122,Norwich City,Sam Byram,ENG,DF,27,1993,11.4,0,7,1,14.3,0.61,0.09,0.0,0.0,10.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6
ENG-Premier League,2122,Norwich City,Teemu Pukki,FIN,FW,31,1990,36.1,11,68,24,35.3,1.88,0.66,0.12,0.33,15.2,0,3,3,11.4,9.1,0.13,-0.4,-1.1
