,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2223,Toulouse,Theocharis Tsingaras,GRE,MF,21,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.85,0.0,0.85
FRA-Ligue 1,2223,Toulouse,Thijs Dallinga,NED,FW,21,2000,36,28,2353,26.1,12,1,13,12,0,0,4,0,9.8,9.8,2.0,11.9,23,30,174,0.46,0.04,0.5,0.46,0.5,0.38,0.08,0.46,0.38,0.46
FRA-Ligue 1,2223,Toulouse,Veljko Birmančević,SRB,"FW,MF",24,1998,25,2,444,4.9,0,0,0,0,0,0,0,0,1.3,1.3,0.2,1.5,21,16,50,0.0,0.0,0.0,0.0,0.0,0.27,0.05,0.31,0.27,0.31
FRA-Ligue 1,2223,Toulouse,Vincent Sierro,SUI,MF,26,1995,15,7,665,7.4,0,0,0,0,0,0,3,0,0.5,0.5,0.8,1.2,7,49,13,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.17,0.06,0.17
FRA-Ligue 1,2223,Toulouse,Warren Kamanzi,NOR,DF,21,2000,11,7,665,7.4,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.5,22,22,28,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07
FRA-Ligue 1,2223,Toulouse,Yanis Begraoui,MAR,"FW,MF",21,2001,3,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.37
FRA-Ligue 1,2223,Toulouse,Zakaria Aboukhlal,MAR,"FW,MF",22,2000,37,28,2473,27.5,10,5,15,10,0,0,4,0,11.5,11.5,3.3,14.7,100,72,276,0.36,0.18,0.55,0.36,0.55,0.42,0.12,0.54,0.42,0.54
FRA-Ligue 1,2223,Troyes,Abdu Conté,POR,DF,24,1998,19,15,1315,14.6,1,2,3,1,0,0,0,0,0.6,0.6,2.0,2.6,32,56,91,0.07,0.14,0.21,0.07,0.21,0.04,0.14,0.18,0.04,0.18
FRA-Ligue 1,2223,Troyes,Adil Rami,FRA,DF,36,1985,20,18,1596,17.7,0,1,1,0,0,0,2,0,0.7,0.7,0.6,1.3,4,35,2,0.0,0.06,0.06,0.0,0.06,0.04,0.03,0.07,0.04,0.07
FRA-Ligue 1,2223,Troyes,Alexis Tibidi,FRA,"FW,MF",18,2003,3,0,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
