,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2223,Lyon,Anthony Lopes,POR,GK,31,1990,31.3,792,1026,77.2,20368,14374,173,173,100.0,392,396,99.0,223,447,49.9,0,0.0,0.0,0.0,0,9,0,0,0
FRA-Ligue 1,2223,Lyon,Bradley Barcola,FRA,"FW,MF",19,2002,16.0,324,466,69.5,4152,1140,210,276,76.1,85,124,68.5,8,17,47.1,8,3.9,4.2,4.1,25,21,20,4,39
FRA-Ligue 1,2223,Lyon,Castello Lukeba,FRA,DF,19,2002,33.2,2034,2257,90.1,37132,14125,761,812,93.7,1110,1182,93.9,138,207,66.7,0,0.3,0.8,-0.3,3,133,5,0,166
FRA-Ligue 1,2223,Lyon,Corentin Tolisso,FRA,MF,27,1994,22.6,1710,1950,87.7,31063,9727,741,814,91.0,701,775,90.5,215,268,80.2,2,4.4,5.3,-2.4,32,208,38,9,230
FRA-Ligue 1,2223,Lyon,Damien Da Silva,FRA,DF,34,1988,3.8,217,254,85.4,4247,1562,66,75,88.0,122,138,88.4,25,35,71.4,0,0.0,0.1,0.0,0,14,2,0,18
FRA-Ligue 1,2223,Lyon,Dejan Lovren,CRO,DF,33,1989,16.2,961,1096,87.7,18828,6015,322,355,90.7,522,560,93.2,109,161,67.7,0,0.5,0.4,-0.5,2,65,0,0,64
FRA-Ligue 1,2223,Lyon,Henrique,BRA,"DF,FW",28,1994,4.0,192,223,86.1,2975,704,107,122,87.7,74,79,93.7,8,16,50.0,1,0.1,0.2,0.9,1,8,3,1,11
FRA-Ligue 1,2223,Lyon,Houssem Aouar,ALG,MF,24,1998,5.8,299,370,80.8,4682,1089,160,179,89.4,101,127,79.5,24,36,66.7,1,1.1,0.8,-0.1,6,37,4,0,37
FRA-Ligue 1,2223,Lyon,Jeff Reine-Adélaïde,FRA,MF,24,1998,3.7,285,329,86.6,4411,1005,149,164,90.9,110,124,88.7,15,25,60.0,0,0.9,0.7,-0.9,8,31,5,1,32
FRA-Ligue 1,2223,Lyon,Jeffinho,BRA,FW,22,1999,5.0,146,173,84.4,1802,399,98,107,91.6,36,43,83.7,1,1,100.0,0,0.5,0.7,-0.5,7,11,4,0,10
FRA-Ligue 1,2223,Lyon,Johann Lepenant,FRA,MF,19,2002,21.5,1163,1301,89.4,19634,4333,504,570,88.4,524,554,94.6,90,103,87.4,2,1.2,1.3,0.8,10,115,6,1,125
FRA-Ligue 1,2223,Lyon,Jérôme Boateng,GER,DF,33,1988,4.8,179,223,80.3,3852,1320,44,52,84.6,111,126,88.1,21,39,53.8,0,0.2,0.2,-0.2,1,7,2,0,6
