,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,Édgar Badía,ESP,GK,29,1992,24,2160,90,63.2,24.0,24,90,24,0,,14,1.21,28,35,-7,-0.29,0.07,21.9,40.2,-18.3,-0.76,-0.25
ESP-La Liga,2122,Espanyol,Adri Embarba,ESP,"FW,MF",29,1992,32,1986,62,58.1,22.1,24,75,6,8,22,6,1.19,21,23,-2,-0.09,0.6,21.1,28.2,-7.1,-0.32,0.14
ESP-La Liga,2122,Espanyol,Adrià Pedrosa,ESP,DF,23,1998,31,2720,88,79.5,30.2,31,88,27,0,,0,1.23,34,40,-6,-0.2,0.7,29.0,38.6,-9.6,-0.32,0.31
ESP-La Liga,2122,Espanyol,Aleix Gorjon,ESP,DF,18,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Espanyol,Aleix Vidal,ESP,"DF,MF",31,1989,31,1901,61,55.6,21.1,21,80,9,10,22,1,1.06,21,34,-13,-0.62,-0.62,19.9,31.9,-12.0,-0.57,-0.42
ESP-La Liga,2122,Espanyol,Alejandro Pérez,ESP,DF,20,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Espanyol,Daniel Villahermosa,ESP,MF,20,2001,1,23,23,0.7,0.3,0,,0,1,23,2,1.0,0,0,0,0.0,0.34,0.1,0.8,-0.8,-3.07,-2.71
ESP-La Liga,2122,Espanyol,David López,ESP,"MF,DF",31,1989,18,743,41,21.7,8.3,8,72,1,10,17,8,1.22,4,7,-3,-0.36,-0.03,6.8,12.1,-5.2,-0.63,-0.32
ESP-La Liga,2122,Espanyol,Diego López,ESP,GK,39,1981,36,3177,88,92.9,35.3,36,88,34,0,,0,1.17,39,49,-10,-0.28,0.83,34.4,47.5,-13.1,-0.37,0.14
ESP-La Liga,2122,Espanyol,Dídac Vilà,ESP,"DF,MF",32,1989,9,203,23,5.9,2.3,1,90,1,8,14,23,0.67,1,4,-3,-1.33,-1.05,2.6,4.8,-2.2,-0.99,-0.65
ESP-La Liga,2122,Espanyol,Fernando Calero,ESP,DF,25,1995,16,1090,68,31.9,12.1,13,81,8,3,12,15,0.88,11,17,-6,-0.5,-0.23,10.0,14.3,-4.3,-0.35,0.04
ESP-La Liga,2122,Espanyol,Fran Mérida,ESP,MF,31,1990,10,266,27,7.8,3.0,3,58,0,7,13,24,0.91,1,6,-5,-1.69,-1.46,2.2,4.2,-2.0,-0.67,-0.32
ESP-La Liga,2122,Espanyol,Gori,ESP,MF,19,2002,1,9,9,0.3,0.1,0,,0,1,9,4,1.0,0,0,0,0.0,0.34,0.1,0.0,0.1,1.09,1.48
ESP-La Liga,2122,Espanyol,Javi Puado,ESP,"MF,FW",23,1998,30,2245,75,65.6,24.9,26,82,10,4,32,0,0.93,26,38,-12,-0.48,-0.4,22.2,33.9,-11.7,-0.47,-0.26
ESP-La Liga,2122,Espanyol,Joan García,ESP,GK,20,2001,2,108,54,3.2,1.2,1,90,1,1,18,30,0.5,1,3,-2,-1.67,-1.37,1.4,1.1,0.3,0.21,0.62
ESP-La Liga,2122,Espanyol,Jofre,ESP,"MF,DF",20,2001,3,20,7,0.6,0.2,0,,0,3,7,5,1.33,2,0,2,9.0,9.4,1.5,0.3,1.2,5.28,5.7
ESP-La Liga,2122,Espanyol,Keidi Bare,ALB,MF,23,1997,25,1481,59,43.3,16.5,18,73,6,7,25,3,1.32,14,20,-6,-0.36,-0.04,13.7,19.5,-5.7,-0.35,0.06
ESP-La Liga,2122,Espanyol,Landry Dimata,BEL,"FW,MF",23,1997,17,541,32,15.8,6.0,4,73,1,13,19,14,0.94,6,10,-4,-0.67,-0.38,7.5,9.9,-2.3,-0.39,-0.01
ESP-La Liga,2122,Espanyol,Leandro Cabrera,URU,DF,30,1991,37,3330,90,97.4,37.0,37,90,37,0,,0,1.14,39,49,-10,-0.27,2.73,35.3,48.8,-13.5,-0.37,0.56
ESP-La Liga,2122,Espanyol,Lluís Recasens,ESP,DF,19,2002,1,45,45,1.3,0.5,0,,0,1,45,0,0.0,0,2,-2,-4.0,-3.71,0.1,0.4,-0.4,-0.71,-0.33
ESP-La Liga,2122,Espanyol,Loren Morón,ESP,"FW,MF",27,1993,21,563,27,16.5,6.3,4,64,0,17,18,15,1.0,5,10,-5,-0.8,-0.55,6.1,6.9,-0.8,-0.13,0.3
ESP-La Liga,2122,Espanyol,Luca Koleosho,ITA,FW,16,2004,1,1,1,0.0,0.0,0,,0,1,1,0,1.0,0,0,0,0.0,0.34,0.0,0.4,-0.4,-38.84,-38.47
ESP-La Liga,2122,Espanyol,Manu Morlanes,ESP,MF,22,1999,27,1144,42,33.5,12.7,11,67,2,16,26,3,1.15,23,23,0,0.0,0.51,17.3,19.8,-2.6,-0.2,0.28
ESP-La Liga,2122,Espanyol,Miguel Juan Llambrich,ESP,DF,25,1996,2,70,35,2.0,0.8,1,57,0,1,13,27,1.5,0,2,-2,-2.57,-2.28,0.3,0.7,-0.4,-0.52,-0.14
ESP-La Liga,2122,Espanyol,Nico Ribaudo,ESP,"MF,FW",20,2001,31,1116,36,32.6,12.4,7,65,0,24,28,4,1.23,15,14,1,0.08,0.63,12.9,16.8,-3.8,-0.31,0.1
ESP-La Liga,2122,Espanyol,Oier Olazábal,ESP,GK,31,1989,2,135,68,3.9,1.5,1,90,1,1,45,22,1.5,0,1,-1,-0.67,-0.34,0.9,2.5,-1.6,-1.09,-0.74
ESP-La Liga,2122,Espanyol,Raúl de Tomás,ESP,FW,26,1994,34,2914,86,85.2,32.4,33,87,19,1,45,0,1.21,37,44,-7,-0.22,0.85,32.8,42.8,-10.0,-0.31,0.49
ESP-La Liga,2122,Espanyol,Roger Martínez,ESP,MF,17,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Espanyol,Rubén,ESP,DF,20,2001,4,150,38,4.4,1.7,1,90,1,3,20,4,1.0,2,3,-1,-0.6,-0.27,1.0,3.5,-2.5,-1.52,-1.19
ESP-La Liga,2122,Espanyol,Sergi Darder,ESP,MF,27,1993,36,3125,87,91.4,34.7,36,87,25,0,,0,1.14,39,49,-10,-0.29,0.63,32.8,47.0,-14.2,-0.41,-0.31
ESP-La Liga,2122,Espanyol,Sergi Gómez,ESP,DF,29,1992,31,2720,88,79.5,30.2,31,88,27,0,,6,1.03,34,47,-13,-0.43,-0.43,31.9,43.9,-12.0,-0.4,-0.08
ESP-La Liga,2122,Espanyol,Tonny Vilhena,NED,"MF,FW",26,1995,17,928,55,27.1,10.3,13,65,0,4,21,0,0.88,9,15,-6,-0.58,-0.33,7.7,12.6,-4.9,-0.47,-0.12
ESP-La Liga,2122,Espanyol,Victor Gomez,ESP,DF,21,2000,1,4,4,0.1,0.0,0,,0,1,4,0,1.0,0,0,0,0.0,0.34,0.1,0.0,0.1,1.13,1.51
ESP-La Liga,2122,Espanyol,Wu Lei,CHN,"FW,MF",29,1991,23,474,21,13.9,5.3,4,52,0,19,14,14,1.22,2,7,-5,-0.95,-0.7,4.9,7.7,-2.8,-0.53,-0.17
ESP-La Liga,2122,Espanyol,Yangel Herrera,VEN,MF,23,1998,23,1645,72,48.1,18.3,19,80,10,4,30,1,1.09,17,24,-7,-0.38,-0.08,14.9,24.3,-9.4,-0.52,-0.26
ESP-La Liga,2122,Espanyol,Álvaro García,ESP,DF,21,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,
ESP-La Liga,2122,Espanyol,Álvaro Vadillo,ESP,"DF,MF",26,1994,3,7,2,0.2,0.1,0,,0,3,2,9,0.33,0,0,0,0.0,0.34,0.2,0.1,0.1,1.64,2.02
ESP-La Liga,2122,Espanyol,Óscar Gil,ESP,DF,24,1997,22,1688,77,49.4,18.8,20,82,8,2,27,1,1.27,21,21,0,0.0,0.68,19.3,20.4,-1.1,-0.06,0.64
ESP-La Liga,2122,Espanyol,Óscar Melendo,ESP,"MF,FW",23,1997,21,990,47,28.9,11.0,14,59,0,7,24,17,0.95,16,20,-4,-0.36,-0.03,12.6,15.3,-2.8,-0.25,0.18
ESP-La Liga,2122,Getafe,Allan Nyom,CMR,DF,33,1988,5,244,49,7.1,2.7,3,76,1,2,8,14,1.6,3,3,0,0.0,0.23,1.5,3.7,-2.3,-0.84,-0.64
ESP-La Liga,2122,Getafe,Borja Mayoral,ESP,FW,24,1997,18,1044,58,30.5,11.6,11,76,2,7,30,0,1.17,13,10,3,0.26,0.68,11.0,9.5,1.5,0.13,0.54
ESP-La Liga,2122,Getafe,Carles Aleñá,ESP,MF,23,1998,33,2320,70,67.8,25.8,30,76,6,3,15,1,1.12,23,20,3,0.12,1.02,18.0,23.5,-5.6,-0.22,0.09
ESP-La Liga,2122,Getafe,Chema,ESP,MF,29,1992,1,45,45,1.3,0.5,1,45,0,0,,10,0.0,0,4,-4,-8.0,-7.89,0.2,0.8,-0.6,-1.28,-1.05
ESP-La Liga,2122,Getafe,Chinchu,ESP,DF,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Getafe,Damián Suárez,URU,DF,33,1988,35,2711,77,79.3,30.1,31,84,19,4,26,1,1.11,26,28,-2,-0.07,0.7,22.8,30.4,-7.6,-0.25,-0.03
ESP-La Liga,2122,Getafe,Darío Poveda,ESP,"FW,MF",24,1997,15,380,25,11.1,4.2,3,76,1,12,13,3,1.0,5,4,1,0.24,0.5,3.1,5.6,-2.5,-0.6,-0.4
ESP-La Liga,2122,Getafe,David Soria,ESP,GK,28,1993,38,3414,90,99.8,37.9,38,90,37,0,,0,1.03,32,41,-9,-0.24,-15.24,29.1,38.5,-9.4,-0.25,-0.79
