,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Tomás Pina Isla,ESP,MF,33,1987,16.0,0,5,1,20.0,0.31,0.06,0.0,0.0,23.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5
ESP-La Liga,2122,Alavés,Toni Moya,ESP,MF,23,1998,15.4,0,12,2,16.7,0.78,0.13,0.0,0.0,26.2,2,0,0,1.3,1.3,0.1,-1.3,-1.3
ESP-La Liga,2122,Alavés,Unai Ropero,ESP,MF,19,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Víctor Laguardia,ESP,DF,31,1989,33.8,3,13,5,38.5,0.38,0.15,0.23,0.6,9.5,0,0,0,2.0,2.0,0.15,1.0,1.0
ESP-La Liga,2122,Alavés,Ximo Navarro,ESP,DF,31,1990,15.0,0,10,3,30.0,0.67,0.2,0.0,0.0,18.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6
ESP-La Liga,2122,Alavés,Édgar Méndez,ESP,"FW,MF",31,1990,17.9,1,25,8,32.0,1.39,0.45,0.04,0.13,19.3,0,0,0,1.5,1.5,0.06,-0.5,-0.5
ESP-La Liga,2122,Athletic Club,Alex Petxa,ESP,"DF,MF",24,1997,4.6,0,2,1,50.0,0.44,0.22,0.0,0.0,18.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ESP-La Liga,2122,Athletic Club,Ander Capa,ESP,DF,29,1992,0.0,0,1,0,0.0,22.5,0.0,0.0,,22.8,0,0,0,0.0,0.0,0.02,0.0,0.0
ESP-La Liga,2122,Athletic Club,Asier Villalibre,ESP,FW,23,1997,6.1,2,19,6,31.6,3.12,0.99,0.11,0.33,12.3,0,0,0,2.4,2.4,0.13,-0.4,-0.4
ESP-La Liga,2122,Athletic Club,Dani García,ESP,MF,31,1990,24.2,0,12,2,16.7,0.5,0.08,0.0,0.0,20.6,0,0,0,0.6,0.6,0.05,-0.6,-0.6
ESP-La Liga,2122,Athletic Club,Daniel Vivian,ESP,DF,22,1999,22.1,2,17,8,47.1,0.77,0.36,0.12,0.25,12.6,0,0,0,1.3,1.3,0.07,0.7,0.7
ESP-La Liga,2122,Athletic Club,Iker Muniain,ESP,MF,28,1992,30.9,4,38,17,44.7,1.23,0.55,0.08,0.18,19.3,6,1,3,5.8,3.4,0.09,-1.8,-0.4
ESP-La Liga,2122,Athletic Club,Iñaki Williams,GHA,FW,27,1994,30.9,8,94,35,37.2,3.05,1.13,0.07,0.2,14.0,0,1,1,14.1,13.3,0.14,-6.1,-6.3
ESP-La Liga,2122,Athletic Club,Iñigo Lekue,ESP,DF,28,1993,21.4,0,7,1,14.3,0.33,0.05,0.0,0.0,25.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ESP-La Liga,2122,Athletic Club,Iñigo Martínez,ESP,DF,30,1991,26.0,3,27,8,29.6,1.04,0.31,0.11,0.38,13.4,3,0,0,2.0,2.0,0.07,1.0,1.0
ESP-La Liga,2122,Athletic Club,Jon Morcillo,ESP,"MF,FW",22,1998,0.6,0,1,0,0.0,1.67,0.0,0.0,,7.5,0,0,0,0.6,0.6,0.6,-0.6,-0.6
ESP-La Liga,2122,Athletic Club,Julen Agirrezabala,ESP,GK,20,2000,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Athletic Club,Mikel Balenziaga,ESP,DF,33,1988,22.5,0,7,2,28.6,0.31,0.09,0.0,0.0,24.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ESP-La Liga,2122,Athletic Club,Mikel Vesga,ESP,MF,28,1993,15.1,2,14,4,28.6,0.93,0.27,0.14,0.5,17.9,0,0,0,1.0,1.0,0.07,1.0,1.0
ESP-La Liga,2122,Athletic Club,Nico Williams,ESP,MF,19,2002,14.9,0,33,10,30.3,2.22,0.67,0.0,0.0,15.5,0,0,0,2.6,2.6,0.08,-2.6,-2.6
ESP-La Liga,2122,Athletic Club,Nicolás Serrano,ESP,"MF,FW",18,2003,3.5,1,9,4,44.4,2.56,1.14,0.11,0.25,25.1,0,0,0,0.4,0.4,0.05,0.6,0.6
ESP-La Liga,2122,Athletic Club,Oier Zarraga,ESP,MF,22,1999,13.0,1,17,3,17.6,1.31,0.23,0.0,0.0,25.5,0,1,1,1.3,0.5,0.03,-0.3,-0.5
