,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2223,Fiorentina,Jonathan Ikone,FRA,FW,24,1998,33,24,2007,22.3,4,4,8,4,0,0,4,0,4.1,4.1,3.7,7.8,83,67,178,0.18,0.18,0.36,0.18,0.36,0.18,0.17,0.35,0.18,0.35
ITA-Serie A,2223,Fiorentina,Josip Brekalo,CRO,"FW,MF",24,1998,6,1,229,2.5,0,0,0,0,0,0,1,0,0.7,0.7,0.5,1.2,11,18,31,0.0,0.0,0.0,0.0,0.0,0.26,0.2,0.46,0.26,0.46
ITA-Serie A,2223,Fiorentina,Lorenzo Venuti,ITA,DF,27,1995,17,9,924,10.3,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.9,24,44,43,0.0,0.1,0.1,0.0,0.1,0.04,0.05,0.09,0.04,0.09
ITA-Serie A,2223,Fiorentina,Luca Ranieri,ITA,DF,23,1999,9,5,508,5.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,11,0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
ITA-Serie A,2223,Fiorentina,Lucas Martínez Quarta,ARG,DF,26,1996,27,25,2171,24.1,1,1,2,1,0,0,6,0,2.5,2.5,0.6,3.1,19,119,6,0.04,0.04,0.08,0.04,0.08,0.1,0.02,0.13,0.1,0.13
ITA-Serie A,2223,Fiorentina,Luka Jović,SRB,"FW,MF",24,1997,31,16,1534,17.0,6,3,9,6,0,1,3,0,7.9,7.1,1.5,8.6,8,28,75,0.35,0.18,0.53,0.35,0.53,0.46,0.09,0.55,0.42,0.51
ITA-Serie A,2223,Fiorentina,Marco Benassi,ITA,DF,27,1994,2,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09
ITA-Serie A,2223,Fiorentina,Michele Cerofolini,ITA,GK,23,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,Fiorentina,Nicolás González,ARG,"FW,MF",24,1998,24,13,1354,15.0,6,1,7,4,2,2,3,0,6.7,5.4,1.3,6.7,37,70,112,0.4,0.07,0.47,0.27,0.33,0.45,0.09,0.53,0.36,0.45
ITA-Serie A,2223,Fiorentina,Nikola Milenković,SRB,DF,24,1997,27,23,2137,23.7,2,1,3,2,0,0,4,0,1.9,1.9,0.5,2.4,9,78,3,0.08,0.04,0.13,0.08,0.13,0.08,0.02,0.1,0.08,0.1
ITA-Serie A,2223,Fiorentina,Pierluigi Gollini,ITA,GK,27,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,Fiorentina,Pietro Terracciano,ITA,GK,32,1990,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,Fiorentina,Riccardo Saponara,ITA,FW,30,1991,29,14,1208,13.4,4,3,7,4,0,0,4,0,2.8,2.8,3.4,6.2,56,56,125,0.3,0.22,0.52,0.3,0.52,0.21,0.26,0.46,0.21,0.46
ITA-Serie A,2223,Fiorentina,Riccardo Sottil,ITA,FW,23,1999,18,9,833,9.3,0,2,2,0,0,0,1,0,1.0,1.0,1.1,2.2,65,27,123,0.0,0.22,0.22,0.0,0.22,0.11,0.12,0.23,0.11,0.23
ITA-Serie A,2223,Fiorentina,Rolando Mandragora,ITA,MF,25,1997,29,22,1950,21.7,2,4,6,2,0,0,8,0,1.5,1.5,4.9,6.4,18,142,59,0.09,0.18,0.28,0.09,0.28,0.07,0.23,0.3,0.07,0.3
ITA-Serie A,2223,Fiorentina,Salvatore Sirigu,ITA,GK,35,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,Fiorentina,Sofyan Amrabat,MAR,MF,25,1996,29,24,1998,22.2,0,1,1,0,0,0,11,0,0.5,0.5,1.1,1.6,36,176,24,0.0,0.05,0.05,0.0,0.05,0.02,0.05,0.07,0.02,0.07
ITA-Serie A,2223,Fiorentina,Szymon Żurkowski,POL,MF,24,1997,2,0,32,0.4,0,1,1,0,0,0,0,0,0.1,0.1,0.0,0.1,3,1,4,0.0,2.81,2.81,0.0,2.81,0.33,0.06,0.4,0.33,0.4
ITA-Serie A,2223,Fiorentina,Youssef Maleh,MAR,MF,23,1998,7,4,297,3.3,0,0,0,0,0,0,2,0,0.6,0.6,0.6,1.2,3,11,17,0.0,0.0,0.0,0.0,0.0,0.17,0.2,0.36,0.17,0.36
ITA-Serie A,2223,Hellas Verona,Adolfo Gaich,ARG,FW,23,1999,16,8,726,8.1,2,0,2,2,0,0,2,0,2.5,2.5,0.4,2.9,6,11,33,0.25,0.0,0.25,0.25,0.25,0.31,0.05,0.36,0.31,0.36
