,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2223,Athletic Club,Unai Vencedor Paris,ESP,MF,21,2000,10,0,193,2.1,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,2,16,3,0.0,0.0,0.0,0.0,0.0,0.22,0.05,0.28,0.22,0.28
ESP-La Liga,2223,Athletic Club,Yeray Álvarez,ESP,DF,27,1995,28,27,2332,25.9,1,1,2,1,0,0,7,1,0.8,0.8,1.1,1.9,32,152,8,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07
ESP-La Liga,2223,Athletic Club,Yuri Berchiche,ESP,DF,32,1990,29,27,2406,26.7,1,1,2,1,0,0,9,1,1.3,1.3,1.4,2.7,59,179,95,0.04,0.04,0.07,0.04,0.07,0.05,0.05,0.1,0.05,0.1
ESP-La Liga,2223,Athletic Club,Álex Berenguer,ESP,FW,27,1995,37,26,2297,25.5,4,1,5,4,0,0,2,0,4.3,4.3,4.6,9.0,73,77,249,0.16,0.04,0.2,0.16,0.2,0.17,0.18,0.35,0.17,0.35
ESP-La Liga,2223,Athletic Club,Óscar de Marcos,ESP,DF,33,1989,37,32,2819,31.3,1,6,7,1,0,0,7,0,0.4,0.4,3.5,4.0,76,204,153,0.03,0.19,0.22,0.03,0.22,0.01,0.11,0.13,0.01,0.13
ESP-La Liga,2223,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",31,1991,38,31,2859,31.8,15,16,31,15,0,0,2,0,12.3,12.3,13.8,26.1,99,171,202,0.47,0.5,0.98,0.47,0.98,0.39,0.44,0.82,0.39,0.82
ESP-La Liga,2223,Atlético Madrid,Antonio Gomis,ESP,GK,19,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Atlético Madrid,Axel Witsel,BEL,"DF,MF",33,1989,33,25,2258,25.1,0,0,0,0,0,0,2,1,0.6,0.6,0.6,1.2,6,82,11,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05
ESP-La Liga,2223,Atlético Madrid,Carlos Martín,ESP,"FW,MF",20,2002,4,0,28,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
ESP-La Liga,2223,Atlético Madrid,Felipe,BRA,DF,33,1989,3,2,194,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,20,1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
