league,season,game,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
FRA-Ligue 1,2223,2022-08-13 Monaco-Rennes,2,Sat,2022-08-13,17:00,Monaco,1.8,1–1,2.1,Rennes,8000,Stade Louis II,Jérémie Pignard,/en/matches/86562a7e/Monaco-Rennes-August-13-2022-Ligue-1,,86562a7e
FRA-Ligue 1,2223,2022-08-13 Paris S-G-Montpellier,2,Sat,2022-08-13,21:00,Paris S-G,3.2,5–2,0.9,Montpellier,46000,Parc des Princes,Willy Delajod,/en/matches/63a572a1/Paris-Saint-Germain-Montpellier-August-13-2022-Ligue-1,,63a572a1
FRA-Ligue 1,2223,2022-08-14 Ajaccio-Lens,2,Sun,2022-08-14,15:00,Ajaccio,0.5,0–0,1.4,Lens,9070,Stade François Coty,Stéphanie Frappart,/en/matches/8b559e8f/Ajaccio-Lens-August-14-2022-Ligue-1,,8b559e8f
FRA-Ligue 1,2223,2022-08-14 Auxerre-Angers,2,Sun,2022-08-14,15:00,Auxerre,0.8,2–2,1.4,Angers,15577,Stade de l'Abbé Deschamps,Ruddy Buquet,/en/matches/f5a2eb8d/Auxerre-Angers-August-14-2022-Ligue-1,,f5a2eb8d
FRA-Ligue 1,2223,2022-08-14 Brest-Marseille,2,Sun,2022-08-14,20:45,Brest,2.0,1–1,0.7,Marseille,13709,Stade Francis-Le Blé,Jeremy Stinat,/en/matches/4a5a2571/Brest-Marseille-August-14-2022-Ligue-1,,4a5a2571
FRA-Ligue 1,2223,2022-08-14 Nice-Strasbourg,2,Sun,2022-08-14,17:05,Nice,1.6,1–1,0.9,Strasbourg,24707,Stade de Nice,Hakim Ben El Hadj Salem,/en/matches/d1bb8afd/Nice-Strasbourg-August-14-2022-Ligue-1,,d1bb8afd
FRA-Ligue 1,2223,2022-08-14 Reims-Clermont Foot,2,Sun,2022-08-14,15:00,Reims,2.7,2–4,1.9,Clermont Foot,9456,Stade Auguste-Delaune,Johan Hamel,/en/matches/ed6b4245/Reims-Clermont-Foot-August-14-2022-Ligue-1,,ed6b4245
FRA-Ligue 1,2223,2022-08-14 Troyes-Toulouse,2,Sun,2022-08-14,15:00,Troyes,1.0,0–3,1.5,Toulouse,6000,Stade de l'Aube,Marc Bollengier,/en/matches/f60d97c0/Troyes-Toulouse-August-14-2022-Ligue-1,,f60d97c0
FRA-Ligue 1,2223,2022-08-19 Lyon-Troyes,3,Fri,2022-08-19,21:00,Lyon,2.6,4–1,1.0,Troyes,43000,Groupama Stadium,Eric Wattellier,/en/matches/a1baf3a5/Lyon-Troyes-August-19-2022-Ligue-1,,a1baf3a5
FRA-Ligue 1,2223,2022-08-20 Marseille-Nantes,3,Sat,2022-08-20,21:00,Marseille,1.1,2–1,2.2,Nantes,63147,Orange Vélodrome,Jérémie Pignard,/en/matches/44e18f81/Marseille-Nantes-August-20-2022-Ligue-1,,44e18f81
FRA-Ligue 1,2223,2022-08-20 Monaco-Lens,3,Sat,2022-08-20,17:00,Monaco,1.6,1–4,2.5,Lens,8700,Stade Louis II,Willy Delajod,/en/matches/579dbb9f/Monaco-Lens-August-20-2022-Ligue-1,,579dbb9f
FRA-Ligue 1,2223,2022-08-21 Angers-Brest,3,Sun,2022-08-21,15:00,Angers,0.6,1–3,1.8,Brest,8735,Stade Raymond Kopa,Jérôme Brisard,/en/matches/2bc4aa01/Angers-Brest-August-21-2022-Ligue-1,,2bc4aa01
FRA-Ligue 1,2223,2022-08-21 Clermont Foot-Nice,3,Sun,2022-08-21,15:00,Clermont Foot,0.7,1–0,1.4,Nice,11500,Stade Gabriel Montpied,Thomas Léonard,/en/matches/197f9381/Clermont-Foot-Nice-August-21-2022-Ligue-1,,197f9381
FRA-Ligue 1,2223,2022-08-21 Lille-Paris S-G,3,Sun,2022-08-21,20:45,Lille,1.7,1–7,3.4,Paris S-G,47526,Stade Pierre-Mauroy,Clément Turpin,/en/matches/a5ba0018/Lille-Paris-Saint-Germain-August-21-2022-Ligue-1,,a5ba0018
FRA-Ligue 1,2223,2022-08-21 Montpellier-Auxerre,3,Sun,2022-08-21,15:00,Montpellier,1.0,1–2,1.3,Auxerre,13137,Stade de la Mosson,Mathieu Vernice,/en/matches/05d493df/Montpellier-Auxerre-August-21-2022-Ligue-1,,05d493df
FRA-Ligue 1,2223,2022-08-21 Rennes-Ajaccio,3,Sun,2022-08-21,17:05,Rennes,1.2,2–1,1.4,Ajaccio,27592,Roazhon Park,Hakim Ben El Hadj Salem,/en/matches/9befca9a/Rennes-Ajaccio-August-21-2022-Ligue-1,,9befca9a
FRA-Ligue 1,2223,2022-08-21 Strasbourg-Reims,3,Sun,2022-08-21,13:00,Strasbourg,1.2,1–1,2.0,Reims,25175,Stade de la Meinau,Ruddy Buquet,/en/matches/be90ec61/Strasbourg-Reims-August-21-2022-Ligue-1,,be90ec61
FRA-Ligue 1,2223,2022-08-21 Toulouse-Lorient,3,Sun,2022-08-21,15:00,Toulouse,1.8,2–2,2.5,Lorient,23862,Stadium Municipal,Gustavo Correia,/en/matches/8fd476c8/Toulouse-Lorient-August-21-2022-Ligue-1,,8fd476c8
