,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2122,Stuttgart,Mateo Klimowicz,GER,"MF,FW",21,2000,15,7,603,6.7,0,1,1,0,0,0,2,0,0.8,0.8,0.4,1.2,14,30,25,0.0,0.15,0.15,0.0,0.15,0.12,0.05,0.17,0.12,0.17
GER-Bundesliga,2122,Stuttgart,Mohamed Sankoh,NED,FW,17,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,2.18,2.18,2.18
GER-Bundesliga,2122,Stuttgart,Naouirou Ahamada,FRA,"MF,DF",19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,Stuttgart,Nikolas Nartey,DEN,"MF,DF",21,2000,8,4,404,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,3,16,23,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
GER-Bundesliga,2122,Stuttgart,Omar Marmoush,EGY,FW,22,1999,21,19,1571,17.5,3,5,8,3,0,1,3,0,5.1,4.3,2.0,6.3,38,33,119,0.17,0.29,0.46,0.17,0.46,0.29,0.11,0.41,0.25,0.36
GER-Bundesliga,2122,Stuttgart,Orel Mangala,BEL,MF,23,1998,28,22,1853,20.6,1,3,4,1,0,0,4,0,2.1,2.1,2.4,4.5,34,71,56,0.05,0.15,0.19,0.05,0.19,0.1,0.11,0.22,0.1,0.22
GER-Bundesliga,2122,Stuttgart,Pascal Stenzel,GER,DF,25,1996,16,9,899,10.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.4,13,54,20,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04
GER-Bundesliga,2122,Stuttgart,Philipp Förster,GER,"MF,FW",26,1995,20,11,967,10.7,2,1,3,2,0,0,4,0,2.8,2.8,1.3,4.0,33,46,59,0.19,0.09,0.28,0.19,0.28,0.26,0.12,0.38,0.26,0.38
GER-Bundesliga,2122,Stuttgart,Philipp Klement,GER,MF,28,1992,6,3,338,3.8,1,0,1,1,0,0,0,0,0.3,0.3,1.0,1.3,8,28,17,0.27,0.0,0.27,0.27,0.27,0.07,0.27,0.34,0.07,0.34
GER-Bundesliga,2122,Stuttgart,Roberto Massimo,GER,"DF,FW",20,2000,19,11,877,9.7,2,0,2,2,0,0,0,0,2.2,2.2,1.3,3.5,25,11,75,0.21,0.0,0.21,0.21,0.21,0.23,0.13,0.36,0.23,0.36
