,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2122,Reims,Fodé Doucouré,MLI,"DF,FW",20,2001,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Reims,Fraser Hornby,SCO,"FW,MF",21,1999,3.9,0,6,2,33.3,1.54,0.51,0.0,0.0,12.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5
FRA-Ligue 1,2122,Reims,Ghislain Konan,CIV,DF,25,1995,26.9,1,19,5,26.3,0.71,0.19,0.05,0.2,24.1,1,0,0,0.6,0.6,0.03,0.4,0.4
FRA-Ligue 1,2122,Reims,Hugo Ekitike,FRA,FW,19,2002,14.1,10,29,16,55.2,2.05,1.13,0.31,0.56,14.4,0,1,2,6.5,4.8,0.18,3.5,4.2
FRA-Ligue 1,2122,Reims,Ibrahim Diakité,GUI,MF,17,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Reims,Ilan Kebbal,ALG,"MF,FW",23,1998,19.7,1,27,6,22.2,1.37,0.3,0.04,0.17,19.7,0,0,0,1.4,1.4,0.05,-0.4,-0.4
FRA-Ligue 1,2122,Reims,Jens Cajuste,SWE,"MF,FW",21,1999,4.0,2,8,6,75.0,1.98,1.48,0.13,0.17,16.9,0,1,1,1.7,0.9,0.12,0.3,0.1
FRA-Ligue 1,2122,Reims,Kaj Sierhuis,NED,FW,23,1998,0.9,0,2,0,0.0,2.25,0.0,0.0,,20.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
FRA-Ligue 1,2122,Reims,Kamory Doumbia,MLI,"MF,FW",18,2003,3.9,2,4,2,50.0,1.02,0.51,0.5,1.0,17.0,0,0,0,0.6,0.6,0.16,1.4,1.4
FRA-Ligue 1,2122,Reims,Marshall Munetsi,ZIM,"MF,DF",25,1996,20.9,5,32,13,40.6,1.53,0.62,0.16,0.38,17.0,0,0,0,4.0,4.0,0.13,1.0,1.0
FRA-Ligue 1,2122,Reims,Martin Adeline,FRA,"MF,FW",17,2003,3.9,0,4,1,25.0,1.02,0.26,0.0,0.0,11.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4
FRA-Ligue 1,2122,Reims,Mathieu Cafaro,FRA,"MF,FW",24,1997,2.1,0,6,2,33.3,2.81,0.94,0.0,0.0,22.5,1,0,0,0.4,0.4,0.07,-0.4,-0.4
FRA-Ligue 1,2122,Reims,Maxime Busi,BEL,DF,21,1999,14.4,1,6,2,33.3,0.42,0.14,0.17,0.5,13.6,0,0,0,0.6,0.6,0.1,0.4,0.4
FRA-Ligue 1,2122,Reims,Mitchell van Bergen,NED,"FW,MF",21,1999,10.9,0,12,5,41.7,1.1,0.46,0.0,0.0,18.0,0,0,0,1.2,1.2,0.1,-1.2,-1.2
FRA-Ligue 1,2122,Reims,Moreto Cassamã,GNB,MF,23,1998,8.9,2,11,7,63.6,1.24,0.79,0.18,0.29,26.8,0,0,0,0.6,0.6,0.06,1.4,1.4
FRA-Ligue 1,2122,Reims,Moussa Doumbia,MLI,FW,26,1994,1.0,0,3,2,66.7,3.14,2.09,0.0,0.0,26.7,0,0,1,0.9,0.1,0.04,-0.9,-0.1
FRA-Ligue 1,2122,Reims,Moustapha Mbow,SEN,DF,21,2000,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Reims,Nathanael Mbuku,COD,"FW,MF",19,2002,15.8,2,33,13,39.4,2.09,0.83,0.06,0.15,18.8,0,0,0,2.4,2.4,0.07,-0.4,-0.4
FRA-Ligue 1,2122,Reims,Philippe Koffi,CIV,FW,19,2002,4.2,1,9,2,22.2,2.16,0.48,0.11,0.5,14.0,0,0,0,0.9,0.9,0.11,0.1,0.1
