league,season,game,round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
FRA-Ligue 1,2324,2023-12-17 Marseille-Clermont Foot,Ligue 1,16,Sun,2023-12-17,17:05,Marseille,2.4,2–1,0.2,Clermont Foot,63753,Orange Vélodrome,Gaël Angoula,/en/matches/a92291bc/Marseille-Clermont-Foot-December-17-2023-Ligue-1,,a92291bc
FRA-Ligue 1,2324,2023-12-17 Metz-Montpellier,Ligue 1,16,Sun,2023-12-17,15:00,Metz,0.8,0–1,0.5,Montpellier,23473,Stade Saint-Symphorien,Marc Bollengier,/en/matches/eb4084eb/Metz-Montpellier-December-17-2023-Ligue-1,,eb4084eb
FRA-Ligue 1,2324,2023-12-17 Nantes-Brest,Ligue 1,16,Sun,2023-12-17,13:00,Nantes,1.0,0–2,1.9,Brest,30075,Stade de la Beaujoire - Louis Fonteneau,Benoît Millot,/en/matches/17503b00/Nantes-Brest-December-17-2023-Ligue-1,,17503b00
FRA-Ligue 1,2324,2023-12-17 Toulouse-Rennes,Ligue 1,16,Sun,2023-12-17,15:00,Toulouse,0.9,0–0,0.7,Rennes,23310,Stadium Municipal,Jeremy Stinat,/en/matches/8197fd69/Toulouse-Rennes-December-17-2023-Ligue-1,,8197fd69
FRA-Ligue 1,2324,2023-12-20 Brest-Lorient,Ligue 1,17,Wed,2023-12-20,21:00,Brest,2.0,4–0,0.5,Lorient,14544,Stade Francis-Le Blé,Mathieu Vernice,/en/matches/0f7c086f/Brest-Lorient-December-20-2023-Ligue-1,,0f7c086f
FRA-Ligue 1,2324,2023-12-20 Clermont Foot-Rennes,Ligue 1,17,Wed,2023-12-20,21:00,Clermont Foot,0.6,1–3,2.5,Rennes,8840,Stade Gabriel Montpied,Eric Wattellier,/en/matches/16bc4ea4/Clermont-Foot-Rennes-December-20-2023-Ligue-1,,16bc4ea4
FRA-Ligue 1,2324,2023-12-20 Lyon-Nantes,Ligue 1,17,Wed,2023-12-20,21:00,Lyon,1.7,1–0,0.5,Nantes,40028,Groupama Stadium,Benoît Bastien,/en/matches/1b327b86/Lyon-Nantes-December-20-2023-Ligue-1,,1b327b86
FRA-Ligue 1,2324,2023-12-20 Montpellier-Marseille,Ligue 1,17,Wed,2023-12-20,21:00,Montpellier,0.9,1–1,1.3,Marseille,18565,Stade de la Mosson,Thomas Léonard,/en/matches/b8e581d1/Montpellier-Marseille-December-20-2023-Ligue-1,,b8e581d1
FRA-Ligue 1,2324,2023-12-20 Nice-Lens,Ligue 1,17,Wed,2023-12-20,21:00,Nice,2.5,2–0,0.5,Lens,25041,Stade de Nice,Hakim Ben El Hadj Salem,/en/matches/267500aa/Nice-Lens-December-20-2023-Ligue-1,,267500aa
FRA-Ligue 1,2324,2023-12-20 Paris S-G-Metz,Ligue 1,17,Wed,2023-12-20,21:00,Paris S-G,2.4,3–1,0.1,Metz,48229,Parc des Princes,Ruddy Buquet,/en/matches/fb56b3c2/Paris-Saint-Germain-Metz-December-20-2023-Ligue-1,,fb56b3c2
