,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Mainz 05,Robin Zentner,GER,GK,28,1994,30.0,663,1045,63.4,20560,15846,116,117,99.1,261,269,97.0,283,648,43.7,0,0.0,0.1,0.0,1,21,0,0,1
GER-Bundesliga,2324,Mainz 05,Sepp van den Berg,NED,DF,21,2001,31.5,1190,1469,81.0,21938,7392,421,497,84.7,657,764,86.0,94,163,57.7,0,0.3,0.4,-0.3,7,86,4,0,95
GER-Bundesliga,2324,Mainz 05,Silvan Widmer,SUI,DF,30,1993,13.8,490,677,72.4,8090,3637,249,296,84.1,185,261,70.9,44,82,53.7,3,3.5,2.5,-0.5,16,57,10,5,54
GER-Bundesliga,2324,Mainz 05,Stefan Bell,GER,DF,31,1991,7.4,297,370,80.3,5526,2509,122,137,89.1,141,163,86.5,31,60,51.7,0,0.1,0.3,-0.1,1,16,3,1,23
GER-Bundesliga,2324,Mainz 05,Tom Krauß,GER,MF,22,2001,15.0,486,651,74.7,7591,2399,262,314,83.4,186,228,81.6,28,61,45.9,2,0.4,0.8,1.6,7,42,9,2,68
GER-Bundesliga,2324,RB Leipzig,Amadou Haidara,MLI,MF,25,1998,17.0,694,825,84.1,11528,4135,324,372,87.1,310,350,88.6,45,63,71.4,1,1.6,1.6,-0.6,17,95,19,1,97
GER-Bundesliga,2324,RB Leipzig,Benjamin Henrichs,GER,DF,26,1997,28.1,1314,1670,78.7,21612,8038,657,743,88.4,548,673,81.4,85,165,51.5,5,4.4,6.0,0.6,40,78,46,11,124
GER-Bundesliga,2324,RB Leipzig,Benjamin Šeško,SVN,FW,20,2003,17.0,215,330,65.2,2541,538,135,183,73.8,53,77,68.8,4,10,40.0,2,1.1,1.3,0.9,12,8,7,0,22
GER-Bundesliga,2324,RB Leipzig,Castello Lukeba,FRA,DF,20,2002,24.3,1726,1885,91.6,30847,11113,636,673,94.5,982,1022,96.1,98,162,60.5,0,0.1,0.8,-0.1,4,107,8,2,107
GER-Bundesliga,2324,RB Leipzig,Christoph Baumgartner,AUT,"MF,FW",23,1999,12.9,340,456,74.6,4651,1244,189,236,80.1,112,137,81.8,14,26,53.8,1,1.6,1.6,-0.6,16,31,12,1,47
GER-Bundesliga,2324,RB Leipzig,Christopher Lenz,GER,"DF,MF",28,1994,0.5,38,49,77.6,600,211,15,16,93.8,21,23,91.3,0,6,0.0,0,0.1,0.1,-0.1,1,3,0,0,2
GER-Bundesliga,2324,RB Leipzig,Dani Olmo,ESP,MF,25,1998,16.1,511,657,77.8,8589,2309,256,306,83.7,187,226,82.7,52,74,70.3,5,5.4,3.7,-0.4,32,60,21,7,68
GER-Bundesliga,2324,RB Leipzig,David Raum,GER,DF,25,1998,30.4,1566,2154,72.7,28030,10264,680,769,88.4,697,906,76.9,162,371,43.7,8,7.3,10.7,0.7,68,92,62,34,131
GER-Bundesliga,2324,RB Leipzig,El Chadaille Bitshiabu,FRA,"DF,MF",18,2005,0.4,48,59,81.4,829,270,24,26,92.3,17,22,77.3,7,9,77.8,0,0.0,0.0,0.0,0,2,0,0,1
GER-Bundesliga,2324,RB Leipzig,Elif Elmas,MKD,"MF,FW",23,1999,3.0,100,120,83.3,1288,291,66,73,90.4,29,31,93.5,1,5,20.0,0,0.1,0.4,-0.1,2,6,2,0,9
GER-Bundesliga,2324,RB Leipzig,Emil Forsberg,SWE,"MF,FW",31,1991,5.2,163,199,81.9,2572,551,95,107,88.8,54,60,90.0,12,17,70.6,1,0.9,0.4,0.1,6,14,3,0,22
GER-Bundesliga,2324,RB Leipzig,Fabio Carvalho,POR,MF,20,2002,1.8,72,92,78.3,855,219,54,60,90.0,14,21,66.7,2,5,40.0,0,0.2,0.2,-0.2,2,6,6,1,9
GER-Bundesliga,2324,RB Leipzig,Janis Blaswich,GER,GK,32,1991,21.0,836,957,87.4,19207,10184,179,183,97.8,493,497,99.2,163,274,59.5,0,0.1,0.1,-0.1,1,10,0,0,3
GER-Bundesliga,2324,RB Leipzig,Jonathan Norbye,NOR,MF,16,2007,0.0,1,1,100.0,19,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
GER-Bundesliga,2324,RB Leipzig,Kevin Kampl,SVN,MF,32,1990,15.1,931,1019,91.4,15489,3486,424,446,95.1,428,460,93.0,58,76,76.3,0,1.8,1.5,-1.8,15,67,12,3,88
GER-Bundesliga,2324,RB Leipzig,Loïs Openda,BEL,FW,23,2000,30.0,348,524,66.4,4561,1025,211,281,75.1,92,128,71.9,13,31,41.9,7,5.8,4.6,1.2,35,21,21,5,45
GER-Bundesliga,2324,RB Leipzig,Lukas Klostermann,GER,DF,27,1996,16.0,1035,1155,89.6,19235,6293,340,372,91.4,610,647,94.3,77,112,68.8,0,0.4,0.9,-0.4,5,77,7,0,90
