,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,Raúl Guti,ESP,MF,24,1996,18.1,659,790,83.4,10891,2926,341,377,90.5,233,266,87.6,58,97,59.8,0,0.3,0.6,-0.3,10,76,5,1,76
ESP-La Liga,2122,Elche,Tete Morente,ESP,MF,24,1996,18.1,393,579,67.9,5762,1644,228,289,78.9,113,170,66.5,28,64,43.8,3,1.8,2.5,1.2,16,25,19,9,50
ESP-La Liga,2122,Elche,Édgar Badía,ESP,GK,29,1992,24.0,565,830,68.1,18595,14474,77,78,98.7,229,233,98.3,257,514,50.0,0,0.0,0.0,0.0,0,11,0,0,0
ESP-La Liga,2122,Espanyol,Adri Embarba,ESP,"FW,MF",29,1992,22.1,474,782,60.6,7606,2300,255,320,79.7,138,221,62.4,52,161,32.3,2,2.5,3.1,-0.5,37,20,22,11,54
ESP-La Liga,2122,Espanyol,Adrià Pedrosa,ESP,DF,23,1998,30.2,935,1265,73.9,14550,5521,514,584,88.0,326,425,76.7,65,164,39.6,1,1.2,2.1,-0.2,23,45,16,10,69
ESP-La Liga,2122,Espanyol,Aleix Vidal,ESP,"DF,MF",31,1989,21.1,877,1093,80.2,14118,4962,439,475,92.4,341,411,83.0,61,121,50.4,0,2.3,2.2,-2.3,26,53,28,9,78
ESP-La Liga,2122,Espanyol,Daniel Villahermosa,ESP,MF,20,2001,0.3,4,7,57.1,73,25,1,2,50.0,0,0,,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1
ESP-La Liga,2122,Espanyol,David López,ESP,"MF,DF",31,1989,8.3,354,427,82.9,5762,2011,166,189,87.8,157,174,90.2,18,39,46.2,0,0.4,0.4,-0.4,3,22,1,0,23
ESP-La Liga,2122,Espanyol,Diego López,ESP,GK,39,1981,35.3,857,1160,73.9,23893,16025,149,152,98.0,426,433,98.4,278,568,48.9,0,0.0,0.0,0.0,1,12,0,0,0
ESP-La Liga,2122,Espanyol,Dídac Vilà,ESP,"DF,MF",32,1989,2.3,70,87,80.5,1049,345,38,43,88.4,28,32,87.5,2,9,22.2,0,0.1,0.0,-0.1,3,4,1,0,4
ESP-La Liga,2122,Espanyol,Fernando Calero,ESP,DF,25,1995,12.1,528,633,83.4,9557,3859,226,237,95.4,248,278,89.2,47,103,45.6,0,0.1,0.2,-0.1,2,36,0,0,24
ESP-La Liga,2122,Espanyol,Fran Mérida,ESP,MF,31,1990,3.0,119,177,67.2,2207,796,51,64,79.7,44,56,78.6,18,43,41.9,0,0.2,0.2,-0.2,4,19,2,1,18
ESP-La Liga,2122,Espanyol,Gori,ESP,MF,19,2002,0.1,5,6,83.3,68,36,4,4,100.0,1,1,100.0,0,1,0.0,0,0.1,0.0,-0.1,1,1,0,0,2
ESP-La Liga,2122,Espanyol,Javi Puado,ESP,"MF,FW",23,1998,24.9,520,638,81.5,7019,1224,320,356,89.9,146,176,83.0,20,32,62.5,1,1.2,1.4,-0.2,21,26,17,2,56
ESP-La Liga,2122,Espanyol,Joan García,ESP,GK,20,2001,1.2,27,34,79.4,685,509,8,8,100.0,12,12,100.0,6,13,46.2,0,0.0,0.0,0.0,0,2,0,0,1
ESP-La Liga,2122,Espanyol,Jofre,ESP,"MF,DF",20,2001,0.2,6,9,66.7,125,49,4,4,100.0,0,0,,2,3,66.7,1,0.4,0.2,0.6,2,0,2,2,0
ESP-La Liga,2122,Espanyol,Keidi Bare,ALB,MF,23,1997,16.5,761,886,85.9,12983,3403,351,387,90.7,308,343,89.8,72,94,76.6,1,0.5,0.5,0.5,8,81,6,1,67
ESP-La Liga,2122,Espanyol,Landry Dimata,BEL,"FW,MF",23,1997,6.0,67,92,72.8,949,133,32,42,76.2,25,32,78.1,4,4,100.0,0,0.3,0.2,-0.3,5,8,1,0,7
ESP-La Liga,2122,Espanyol,Leandro Cabrera,URU,DF,30,1991,37.0,1458,1934,75.4,30092,15087,493,556,88.7,712,849,83.9,229,461,49.7,0,0.7,0.8,-0.7,10,120,2,0,107
ESP-La Liga,2122,Espanyol,Lluís Recasens,ESP,DF,19,2002,0.5,6,11,54.5,142,58,0,2,0.0,5,6,83.3,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,2
ESP-La Liga,2122,Espanyol,Loren Morón,ESP,"FW,MF",27,1993,6.3,51,92,55.4,689,128,29,39,74.4,9,21,42.9,5,10,50.0,0,0.7,0.2,-0.7,5,3,2,1,5
ESP-La Liga,2122,Espanyol,Luca Koleosho,ITA,FW,16,2004,0.0,1,1,100.0,13,5,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,1,0,1
ESP-La Liga,2122,Espanyol,Manu Morlanes,ESP,MF,22,1999,12.7,561,657,85.4,9098,3026,263,284,92.6,225,252,89.3,47,71,66.2,0,0.3,0.5,-0.3,6,67,4,2,81
ESP-La Liga,2122,Espanyol,Miguel Juan Llambrich,ESP,DF,25,1996,0.8,34,47,72.3,537,138,16,19,84.2,18,23,78.3,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1
ESP-La Liga,2122,Espanyol,Nico Ribaudo,ESP,"MF,FW",20,2001,12.4,368,432,85.2,5606,1250,216,237,91.1,109,129,84.5,32,41,78.0,0,1.4,1.0,-1.4,13,26,9,1,54
ESP-La Liga,2122,Espanyol,Oier Olazábal,ESP,GK,31,1989,1.5,24,43,55.8,815,698,3,3,100.0,8,8,100.0,13,32,40.6,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Espanyol,Raúl de Tomás,ESP,FW,26,1994,32.4,611,749,81.6,10477,1766,324,365,88.8,175,208,84.1,82,113,72.6,3,1.6,1.8,1.4,25,44,20,4,86
ESP-La Liga,2122,Espanyol,Rubén,ESP,DF,20,2001,1.7,45,69,65.2,660,154,20,27,74.1,17,26,65.4,2,8,25.0,1,0.5,0.2,0.5,1,1,1,0,1
ESP-La Liga,2122,Espanyol,Sergi Darder,ESP,MF,27,1993,34.7,1427,1733,82.3,25904,7951,644,704,91.5,566,646,87.6,170,276,61.6,9,3.9,3.3,5.1,37,192,43,5,221
ESP-La Liga,2122,Espanyol,Sergi Gómez,ESP,DF,29,1992,30.2,1161,1371,84.7,23475,8416,339,373,90.9,677,721,93.9,136,246,55.3,2,1.2,0.9,0.8,4,46,0,0,43
ESP-La Liga,2122,Espanyol,Tonny Vilhena,NED,"MF,FW",26,1995,10.3,236,338,69.8,3312,1130,157,188,83.5,47,72,65.3,19,46,41.3,1,0.9,1.0,0.1,11,16,5,3,29
ESP-La Liga,2122,Espanyol,Victor Gomez,ESP,DF,21,2000,0.0,2,3,66.7,31,34,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
