,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2122,Venezia,Dor Peretz,ISR,MF,26,1995,6.5,0,5,0,0.0,0.77,0.0,0.0,,18.3,0,0,0,0.8,0.8,0.17,-0.8,-0.8
ITA-Serie A,2122,Venezia,Ethan Ampadu,WAL,"MF,DF",20,2000,25.4,0,7,1,14.3,0.28,0.04,0.0,0.0,20.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ITA-Serie A,2122,Venezia,Francesco Di Mariano,ITA,FW,25,1996,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Venezia,Francesco Forte,ITA,FW,28,1993,4.7,1,11,2,18.2,2.35,0.43,0.09,0.5,10.5,0,0,0,1.0,1.0,0.09,0.0,0.0
ITA-Serie A,2122,Venezia,Gianluca Busio,USA,MF,19,2002,21.7,1,14,5,35.7,0.65,0.23,0.07,0.2,20.3,1,0,0,0.9,0.9,0.07,0.1,0.1
ITA-Serie A,2122,Venezia,Hilmir Mikaelsson,ISL,FW,17,2004,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Venezia,Issa Bah,LUX,FW,19,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Venezia,Jacopo Dezi,ITA,MF,29,1992,0.2,0,1,0,0.0,5.63,0.0,0.0,,24.3,0,0,0,0.0,0.0,0.02,0.0,0.0
ITA-Serie A,2122,Venezia,Jean-Pierre Nsame,CMR,FW,28,1993,2.7,0,5,0,0.0,1.84,0.0,0.0,,10.0,0,0,0,0.7,0.7,0.14,-0.7,-0.7
ITA-Serie A,2122,Venezia,Luca Fiordilino,ITA,MF,25,1996,7.3,0,3,1,33.3,0.41,0.14,0.0,0.0,19.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2
